CTOPP.mfd.raw,CTOPP.mfd.ss.4,CTOPP.mfd.p.4,CTOPP.mfd.ss.4.4,CTOPP.mfd.p.4.4,CTOPP.mfd.ss.4.8,CTOPP.mfd.p.4.8,CTOPP.mfd.ss.5,CTOPP.mfd.p.5,CTOPP.mfd.ss.5.6,CTOPP.mfd.p.5.6,CTOPP.mfd.ss.6,CTOPP.mfd.p.6,CTOPP.mfd.ss.6.6,CTOPP.mfd.p.6.6,CTOPP.mfd.ss.7,CTOPP.mfd.p.7,CTOPP.mfd.ss.7.6,CTOPP.mfd.p.7.6,CTOPP.mfd.ss.8,CTOPP.mfd.p.8,CTOPP.mfd.ss.9,CTOPP.mfd.p.9,CTOPP.mfd.ss.10,CTOPP.mfd.p.10,CTOPP.mfd.ss.11,CTOPP.mfd.p.11,CTOPP.mfd.ss.12,CTOPP.mfd.p.12,CTOPP.mfd.ss.13,CTOPP.mfd.p.13,CTOPP.mfd.ss.14,CTOPP.mfd.p.14,CTOPP.mfd.ss.15,CTOPP.mfd.p.15
0,1,<1,1,<1,1,<1,1,<1,1,<1,1,<1,1,<1,1,<1,1,<1,1,<1,1,<1,1,<1,1,<1,1,<1,1,<1,1,<1,1,<1
1,1,<1,1,<1,1,<1,1,<1,1,<1,1,<1,1,<1,1,<1,1,<1,1,<1,1,<1,1,<1,1,<1,1,<1,1,<1,1,<1,1,<1
2,2,<1,2,<1,2,<1,2,<1,1,<1,1,<1,1,<1,1,<1,1,<1,1,<1,1,<1,1,<1,1,<1,1,<1,1,<1,1,<1,1,<1
3,2,<1,2,<1,2,<1,2,<1,2,<1,1,<1,1,<1,1,<1,1,<1,1,<1,1,<1,1,<1,1,<1,1,<1,1,<1,1,<1,1,<1
4,2,<1,2,<1,2,<1,2,<1,2,<1,2,<1,1,<1,1,<1,1,<1,1,<1,1,<1,1,<1,1,<1,1,<1,1,<1,1,<1,1,<1
5,3,1,3,1,3,1,2,<1,2,<1,2,<1,2,<1,1,<1,1,<1,1,<1,1,<1,1,<1,1,<1,1,<1,1,<1,1,<1,1,<1
6,4,2,4,2,4,2,3,1,2,<1,2,<1,2,<1,2,<1,1,<1,1,<1,1,<1,1,<1,1,<1,1,<1,1,<1,1,<1,1,<1
7,5,5,5,5,5,5,4,2,3,1,2,<1,2,<1,2,<1,2,<1,2,<1,1,<1,1,<1,1,<1,1,<1,1,<1,1,<1,1,<1
8,6,9,6,9,6,9,5,5,4,2,3,1,3,1,3,1,2,<1,2,<1,2,<1,2,<1,1,<1,1,<1,1,<1,1,<1,1,<1
9,7,16,7,16,7,16,6,9,5,5,4,2,4,2,3,1,3,1,3,1,2,<1,2,<1,1,<1,1,<1,1,<1,1,<1,1,<1
10,8,25,8,25,8,25,7,16,6,9,5,5,5,5,4,2,4,2,4,2,3,1,3,1,2,<1,2,<1,2,<1,1,<1,1,<1
11,9,37,9,37,9,37,8,25,7,16,6,9,6,9,5,5,5,5,5,5,4,2,4,2,3,1,3,1,3,1,2,<1,2,<1
12,10,50,10,50,10,50,9,37,8,25,7,16,7,16,6,9,6,9,5,5,5,5,4,2,4,2,4,2,4,2,3,1,3,1
13,11,63,11,63,11,63,10,50,9,37,8,25,8,25,7,16,7,16,6,9,6,9,5,5,4,2,4,2,4,2,4,2,4,2
14,12,75,12,75,12,75,11,63,10,50,9,37,9,37,8,25,8,25,7,16,7,16,6,9,5,5,5,5,5,5,5,5,5,5
15,13,84,13,84,13,84,12,75,11,63,10,50,10,50,9,37,9,37,8,25,8,25,7,16,6,9,6,9,6,9,6,9,6,9
16,14,91,14,91,14,91,13,84,12,75,11,63,11,63,10,50,10,50,9,37,9,37,8,25,7,16,7,16,7,16,7,16,7,16
17,15,95,15,95,15,95,14,91,13,84,12,75,12,75,11,63,11,63,10,50,10,50,9,37,8,25,8,25,8,25,8,25,8,25
18,16,98,16,98,16,98,15,95,14,91,13,84,13,84,12,75,12,75,11,63,11,63,10,50,9,37,9,37,9,37,9,37,9,37
19,17,99,17,99,17,99,16,98,15,95,14,91,14,91,13,84,13,84,12,75,12,75,11,63,10,50,10,50,10,50,10,50,10,50
20,18,>99,18,>99,18,>99,17,99,16,98,15,95,15,95,14,91,14,91,13,84,13,84,12,75,11,63,11,63,11,63,11,63,11,63
21,19,>99,19,>99,19,>99,18,>99,17,99,16,98,16,98,15,95,15,95,14,91,14,91,13,84,12,75,12,75,12,75,11,63,11,63
22,20,>99,20,>99,20,>99,19,>99,18,>99,17,99,17,99,16,98,16,98,15,95,15,95,14,91,13,84,13,84,13,84,12,75,12,75
23,20,>99,20,>99,20,>99,20,>99,19,>99,18,>99,18,>99,17,99,17,99,16,98,16,98,15,95,14,91,14,91,14,91,13,84,13,84
24,20,>99,20,>99,20,>99,20,>99,20,>99,19,>99,19,>99,18,>99,18,>99,17,99,17,99,16,98,15,95,15,95,15,95,14,91,14,91
25,20,>99,20,>99,20,>99,20,>99,20,>99,20,>99,20,>99,19,>99,18,>99,18,>99,17,99,17,99,16,98,16,98,16,98,15,95,15,95
26,20,>99,20,>99,20,>99,20,>99,20,>99,20,>99,20,>99,20,>99,19,>99,19,>99,18,>99,17,99,17,99,17,99,17,99,16,98,16,98
27,20,>99,20,>99,20,>99,20,>99,20,>99,20,>99,20,>99,20,>99,20,>99,19,>99,19,>99,18,>99,18,>99,18,>99,18,>99,17,99,17,99
28,20,>99,20,>99,20,>99,20,>99,20,>99,20,>99,20,>99,20,>99,20,>99,20,>99,20,>99,19,>99,19,>99,19,>99,19,>99,18,>99,18,>99
N/A,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X