CTOPP.rdn.raw,CTOPP.rdn.ss.4,CTOPP.rdn.p.4,CTOPP.rdn.ss.4.4,CTOPP.rdn.p.4.4,CTOPP.rdn.ss.4.8,CTOPP.rdn.p.4.8,CTOPP.rdn.ss.5,CTOPP.rdn.p.5,CTOPP.rdn.ss.5.6,CTOPP.rdn.p.5.6,CTOPP.rdn.ss.6,CTOPP.rdn.p.6,CTOPP.rdn.ss.6.6,CTOPP.rdn.p.6.6,CTOPP.rdn.ss.7,CTOPP.rdn.p.7,CTOPP.rdn.ss.7.6,CTOPP.rdn.p.7.6,CTOPP.rdn.ss.8,CTOPP.rdn.p.8,CTOPP.rdn.ss.9,CTOPP.rdn.p.9,CTOPP.rdn.ss.10,CTOPP.rdn.p.10,CTOPP.rdn.ss.11,CTOPP.rdn.p.11,CTOPP.rdn.ss.12,CTOPP.rdn.p.12,CTOPP.rdn.ss.13,CTOPP.rdn.p.13,CTOPP.rdn.ss.14,CTOPP.rdn.p.14,CTOPP.rdn.ss.15,CTOPP.rdn.p.15
108,2,<1,-,-,1,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
107,3,1,-,-,1,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
106,3,1,-,-,1,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
105,3,1,2,<1,1,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
104,3,1,3,1,2,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
103,3,1,3,1,2,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
102,3,1,3,1,2,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
101,3,1,3,1,2,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
100,3,1,3,1,2,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
99,4,2,3,1,2,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
98,4,2,3,1,2,<1,1,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
97,4,2,4,2,3,1,2,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
96,4,2,4,2,3,1,2,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
95,4,2,4,2,3,1,2,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
94,4,2,4,2,3,1,2,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
93,4,2,4,2,3,1,2,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
92,4,2,4,2,3,1,2,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
91,5,5,4,2,3,1,2,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
90,5,5,4,2,3,1,2,<1,1,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
89,5,5,5,5,4,2,3,1,2,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
88,5,5,5,5,4,2,3,1,2,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
87,5,5,5,5,4,2,3,1,2,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
86,6,9,5,5,4,2,3,1,2,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
85,6,9,5,5,4,2,3,1,2,<1,1,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
84,6,9,6,9,5,5,4,2,3,1,2,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
83,6,9,6,9,5,5,4,2,3,1,2,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
82,6,9,6,9,5,5,4,2,3,1,2,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
81,7,16,6,9,5,5,4,2,3,1,2,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
80,7,16,6,9,5,5,4,2,3,1,2,<1,1,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
79,7,16,7,16,6,9,5,5,4,2,3,1,2,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
78,7,16,7,16,6,9,5,5,4,2,3,1,2,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
77,7,16,7,16,6,9,5,5,4,2,3,1,2,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
76,8,25,7,16,6,9,5,5,4,2,3,1,2,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
75,8,25,7,16,6,9,5,5,4,2,3,1,2,<1,1,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
74,8,25,8,25,7,16,6,9,5,5,4,2,3,1,2,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
73,8,25,8,25,7,16,6,9,5,5,4,2,3,1,2,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
72,9,37,8,25,7,16,6,9,5,5,4,2,3,1,2,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
71,9,37,8,25,7,16,6,9,5,5,4,2,3,1,2,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
70,9,37,9,37,8,25,7,16,5,5,4,2,3,1,2,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
69,9,37,9,37,8,25,7,16,5,5,4,2,3,1,2,<1,1,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
68,9,37,9,37,8,25,7,16,6,9,5,5,4,2,3,1,2,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
67,9,37,9,37,8,25,7,16,6,9,5,5,4,2,3,1,2,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
66,10,50,9,37,8,25,7,16,6,9,5,5,4,2,3,1,2,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
65,10,50,9,37,8,25,7,16,6,9,5,5,4,2,3,1,2,<1,1,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
64,10,50,10,50,9,37,8,25,7,16,6,9,5,5,4,2,3,1,2,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
63,10,50,10,50,9,37,8,25,7,16,6,9,5,5,4,2,3,1,2,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
62,10,50,10,50,9,37,8,25,7,16,6,9,5,5,4,2,3,1,2,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
61,10,50,10,50,9,37,8,25,7,16,6,9,5,5,4,2,3,1,2,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
60,10,50,10,50,9,37,8,25,7,16,6,9,5,5,4,2,3,1,2,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
59,11,63,10,50,9,37,8,25,7,16,6,9,5,5,4,2,3,1,2,<1,-,-,-,-,-,-,-,-,-,-,-,-,-,-
58,11,63,10,50,9,37,8,25,7,16,6,9,5,5,4,2,3,1,2,<1,1,<1,-,-,-,-,-,-,-,-,-,-,-,-
57,11,63,11,63,10,50,9,37,8,25,7,16,6,9,5,5,4,2,3,1,2,<1,-,-,-,-,-,-,-,-,-,-,-,-
56,11,63,11,63,10,50,9,37,8,25,7,16,6,9,5,5,4,2,3,1,2,<1,-,-,-,-,-,-,-,-,-,-,-,-
55,11,63,11,63,10,50,9,37,8,25,7,16,6,9,5,5,4,2,3,1,2,<1,-,-,-,-,-,-,-,-,-,-,-,-
54,11,63,11,63,10,50,9,37,8,25,7,16,6,9,5,5,4,2,3,1,2,<1,-,-,-,-,-,-,-,-,-,-,-,-
53,11,63,11,63,10,50,9,37,8,25,7,16,6,9,5,5,4,2,3,1,2,<1,-,-,-,-,-,-,-,-,-,-,-,-
52,12,75,11,63,10,50,9,37,8,25,7,16,6,9,5,5,4,2,3,1,2,<1,-,-,-,-,-,-,-,-,-,-,-,-
51,12,75,11,63,10,50,9,37,8,25,7,16,6,9,5,5,4,2,3,1,2,<1,1,<1,-,-,-,-,-,-,-,-,-,-
50,12,75,12,75,11,63,10,50,9,37,8,25,7,16,6,9,5,5,4,2,3,1,2,<1,-,-,-,-,-,-,-,-,-,-
49,12,75,12,75,11,63,10,50,9,37,8,25,7,16,6,9,5,5,4,2,3,1,2,<1,-,-,-,-,-,-,-,-,-,-
48,12,75,12,75,11,63,10,50,9,37,8,25,7,16,6,9,5,5,4,2,3,1,2,<1,-,-,-,-,-,-,-,-,-,-
47,12,75,12,75,11,63,10,50,9,37,8,25,7,16,6,9,5,5,4,2,3,1,2,<1,-,-,-,-,-,-,-,-,-,-
46,12,75,12,75,11,63,10,50,9,37,8,25,7,16,6,9,5,5,4,2,3,1,2,<1,-,-,-,-,-,-,-,-,-,-
45,12,75,12,75,11,63,10,50,9,37,8,25,7,16,6,9,5,5,4,2,3,1,2,<1,-,-,-,-,-,-,-,-,-,-
44,13,84,12,75,11,63,10,50,9,37,8,25,7,16,6,9,5,5,4,2,3,1,2,<1,-,-,-,-,-,-,-,-,-,-
43,13,84,12,75,11,63,10,50,9,37,8,25,7,16,6,9,5,5,4,2,3,1,2,<1,1,<1,-,-,-,-,-,-,-,-
42,13,84,13,84,12,75,11,63,10,50,9,37,8,25,7,16,6,9,5,5,4,2,3,1,2,<1,-,-,-,-,-,-,-,-
41,13,84,13,84,12,75,11,63,10,50,9,37,8,25,7,16,6,9,5,5,4,2,3,1,2,<1,-,-,-,-,-,-,-,-
40,13,84,13,84,12,75,11,63,10,50,9,37,8,25,7,16,6,9,5,5,4,2,3,1,2,<1,-,-,-,-,-,-,-,-
39,13,84,13,84,12,75,11,63,10,50,9,37,8,25,7,16,6,9,5,5,4,2,3,1,2,<1,-,-,-,-,-,-,-,-
38,13,84,13,84,12,75,11,63,10,50,9,37,8,25,7,16,6,9,5,5,4,2,3,1,2,<1,-,-,-,-,-,-,-,-
37,13,84,13,84,12,75,11,63,10,50,9,37,8,25,7,16,6,9,5,5,4,2,3,1,2,<1,-,-,-,-,-,-,-,-
36,14,91,13,84,12,75,11,63,10,50,9,37,8,25,7,16,6,9,5,5,4,2,3,1,2,<1,-,-,-,-,-,-,-,-
35,14,91,13,84,12,75,11,63,10,50,9,37,8,25,7,16,6,9,5,5,4,2,3,1,2,<1,1,<1,-,-,-,-,-,-
34,14,91,14,91,13,84,12,75,11,63,10,50,9,37,8,25,7,16,6,9,5,5,4,2,3,1,2,<1,-,-,-,-,-,-
33,14,91,14,91,13,84,12,75,11,63,10,50,9,37,8,25,7,16,6,9,5,5,4,2,3,1,2,<1,-,-,-,-,-,-
32,14,91,14,91,13,84,12,75,11,63,10,50,9,37,8,25,7,16,6,9,5,5,4,2,3,1,2,<1,-,-,-,-,-,-
31,14,91,14,91,13,84,12,75,11,63,10,50,9,37,8,25,7,16,6,9,5,5,4,2,3,1,2,<1,-,-,-,-,-,-
30,14,91,14,91,13,84,12,75,11,63,10,50,9,37,8,25,7,16,6,9,5,5,4,2,3,1,2,<1,1,<1,-,-,-,-
29,14,91,14,91,13,84,13,84,12,75,11,63,10,50,9,37,8,25,7,16,6,9,5,5,4,2,3,1,2,<1,-,-,-,-
28,14,91,14,91,13,84,13,84,12,75,11,63,10,50,9,37,8,25,7,16,6,9,5,5,4,2,3,1,2,<1,-,-,-,-
27,14,91,14,91,14,91,13,84,12,75,11,63,10,50,9,37,8,25,7,16,6,9,5,5,4,2,3,1,2,<1,-,-,-,-
26,15,95,14,91,14,91,13,84,12,75,11,63,10,50,9,37,8,25,7,16,6,9,5,5,4,2,3,1,2,<1,-,-,-,-
25,15,95,14,91,14,91,13,84,12,75,11,63,10,50,9,37,8,25,7,16,6,9,5,5,4,2,3,1,2,<1,-,-,-,-
24,15,95,15,95,14,91,13,84,12,75,11,63,10,50,9,37,8,25,7,16,6,9,5,5,4,2,3,1,2,<1,1,<1,-,-
23,15,95,15,95,14,91,14,91,13,84,12,75,11,63,10,50,9,37,8,25,7,16,6,9,5,5,4,2,3,1,2,<1,-,-
22,15,95,15,95,14,91,14,91,13,84,12,75,11,63,10,50,9,37,8,25,7,16,6,9,5,5,4,2,3,1,2,<1,1,<1
21,15,95,15,95,14,91,14,91,13,84,12,75,11,63,11,63,10,50,9,37,8,25,7,16,6,9,5,5,4,2,3,1,2,<1
20,15,95,15,95,14,91,14,91,14,91,13,84,12,75,11,63,10,50,9,37,8,25,7,16,6,9,5,5,4,2,3,1,2,<1
19,15,95,15,95,15,95,14,91,14,91,13,84,12,75,11,63,10,50,9,37,8,25,7,16,6,9,5,5,4,2,3,1,3,1
18,15,95,15,95,15,95,14,91,14,91,13,84,12,75,12,75,11,63,10,50,9,37,8,25,7,16,6,9,5,5,4,2,4,2
17,16,98,15,95,15,95,15,95,14,91,13,84,13,84,12,75,11,63,10,50,9,37,8,25,7,16,6,9,6,9,5,5,5,5
16,16,98,15,95,15,95,15,95,14,91,14,91,13,84,13,84,12,75,11,63,10,50,9,37,8,25,7,16,7,16,6,9,6,9
15,16,98,16,98,15,95,15,95,15,95,14,91,14,91,14,91,1,84,12,75,11,63,10,50,9,37,8,25,8,25,7,16,7,16
14,17,99,16,98,15,95,15,95,15,95,14,91,14,91,14,91,14,91,13,84,12,75,11,63,10,50,9,37,9,37,8,25,8,25
13,17,99,16,98,15,95,15,95,15,95,15,95,15,95,15,95,14,91,14,91,13,84,12,75,11,63,10,50,10,50,9,37,9,37
12,18,>99,17,99,16,98,15,95,15,95,15,95,15,95,15,95,15,95,14,91,14,91,13,84,12,75,11,63,11,63,10,50,10,50
11,18,>99,17,99,16,98,16,98,16,98,15,95,15,95,15,95,15,95,15,95,14,91,14,91,13,84,12,75,12,75,11,63,11,63
10,19,>99,18,>99,17,99,17,99,16,98,16,98,16,96,16,98,16,98,15,95,15,95,14,91,14,91,13,84,13,84,12,75,12,75
9,20,>99,19,>99,18,>99,18,>99,17,99,17,99,17,99,16,98,16,98,16,98,16,98,15,95,15,95,14,91,14,91,13,84,13,84
8,20,>99,20,>99,19,>99,19,>99,18,>99,18,>99,18,>99,17,99,17,99,17,99,17,99,16,98,16,98,15,95,15,95,14,91,14,91
7,20,>99,20,>99,20,>99,19,>99,19,>99,19,>99,19,>99,18,>99,18,>99,18,>99,18,>99,17,99,17,99,16,98,16,98,15,95,15,95
6,20,>99,20,>99,20,>99,20,>99,20,>99,20,>99,20,>99,19,>99,19,>99,19,>99,19,>99,18,99,18,>99,17,99,17,99,16,98,16,98
5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,20,>99,20,>99,20,>99,20,>99,19,99,19,>99,18,>99,18,>99,17,99,17,99
N/A,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X