TOWRE.index,TOWRE.percentile
53,<1
54,<1
55,<1
56,<1
57,<1
58,<1
59,<1
60,<1
61,<1
62,<1
63,<1
64,1
65,1
66,1
67,1
68,1
69,2
70,2
71,3
72,3
73,3
74,4
75,5
76,5
77,6
78,7
79,8
80,9
81,10
82,12
83,13
84,14
85,16
86,18
87,19
88,21
89,23
90,25
91,27
92,30
93,32
94,35
95,37
96,39
97,42
98,45
99,47
100,50
101,53
102,55
103,58
104,61
105,63
106,65
107,68
108,70
109,73
110,75
111,77
112,79
113,81
114,82
115,84
116,86
117,87
118,89
119,90
120,91
121,92
122,93
123,94
124,95
125,95
126,96
127,97
128,97
129,97
130,98
131,98
132,99
133,99
134,99
135,99
136,>99
137,>99
138,>99
139,>99
140,>99
141,>99
142,>99
143,>99
144,>99
145,>99
146,>99
147,>99